มหาวิทยาลัย,,ค่ามัธยฐานเงินเดือน,ค่าใช้จ่าย,ชื่อหลักสูตร,ชื่อหลักสูตรภาษาอังกฤษ,ประเภทหลักสูตร,รอบ 1 Portfolio,รอบ 2 Quota,รอบ 3 Admission,รอบ 4 Direct Admission,วิทยาเขต,สาขาวิชา,อัตราการสำเร็จการศึกษา,อัตราการได้งานทำ
จุฬาลงกรณ์มหาวิทยาลัย,,,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,รับ60คน,ไม่เปิดรับสมัครในรอบนี้,รับ80คน,ไม่เปิดรับสมัครในรอบนี้,วิทยาเขตหลัก,,ร้อยละ 86.8 ต่อปีการศึกษา,
จุฬาลงกรณ์มหาวิทยาลัย,,,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล,Bachelor of Engineering Program in Computer Engineering and Digital Technology,ภาษาไทย ปกติ,รับ220คน,รับ10คน,รับ105คน,ไม่เปิดรับสมัครในรอบนี้,วิทยาเขตหลัก,,ร้อยละ 86.8 ต่อปีการศึกษา,
มหาวิทยาลัยเกษตรศาสตร์,,0.00,,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,B.Eng. (Computer Engineering),ภาษาไทย ปกติ,รับ36คน,รับ14คน,รับ35คน,ไม่เปิดรับสมัครในรอบนี้,บางเขน,,,
มหาวิทยาลัยเกษตรศาสตร์,,-,"156,000",วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,B.Eng. (Computer Engineering),ภาษาไทย ปกติ,รับ20คน,รับ20คน,รับ30คน,ไม่เปิดรับสมัครในรอบนี้,กำแพงแสน,,,
มหาวิทยาลัยเกษตรศาสตร์,,"22,805.26","232,800",วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์,B.Eng. (Computer Engineering and Informatics),ภาษาไทย ปกติ,รับ53คน,รับ34คน,รับ30คน,ไม่เปิดรับสมัครในรอบนี้,ศรีราชา,,ร้อยละ 60.38,ร้อยละ 80.28
มหาวิทยาลัยเกษตรศาสตร์,,0.00,,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,B.Eng. (Computer Engineering),ภาษาไทย ปกติ,รับ92คน,รับ86คน,รับ40คน,รับ15คน,เฉลิมพระเกียรติ จ.สกลนคร,,,
มหาวิทยาลัยขอนแก่น,,,ค่าธรรมเนียมการศึกษา (ชาวไทย) 20000 บาท/เทอม,วิศวกรรมศาสตรบัณฑิต (วิศวกรรมคอมพิวเตอร์) วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering (Computer Engineering),ภาษาไทย ปกติ,รับ32คน,รับ38คน,รับ34คน,ไม่เปิดรับสมัครในรอบนี้,ขอนแก่น,,,
มหาวิทยาลัยเชียงใหม่,,"23,188","184,000",วศ.บ.วิศวกรรมคอมพิวเตอร์,,ภาษาไทย ปกติ,รับ69คน,รับ43คน,รับ10คน,ไม่เปิดรับสมัครในรอบนี้,วิทยาเขตหลัก,,61.50%,53.13%
มหาวิทยาลัยเชียงใหม่,,"25,000","400,000",วศ.บ.วิศวกรรมระบบสารสนเทศและเครือข่าย,,นานาชาติ,รับ31คน,รับ38คน,รับ8คน,รับ12คน,วิทยาเขตหลัก,,69.44%,62.50%
มหาวิทยาลัยธรรมศาสตร์,,"29,000 บาท","18,900 บาท ต่อภาคการศึกษา",วศ.บ.สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,รับ18คน,รับ23คน,รับ30คน,ไม่เปิดรับสมัครในรอบนี้,ศูนย์รังสิต,,ร้อยละ 50,ร้อยละ 100
มหาวิทยาลัยธรรมศาสตร์,,"36,198 บาท","101,200 บาท ต่อภาคการศึกษา",วศ.บ.สาขาวิชาวิศวกรรมดิจิทัล และวิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ) (SIIT),Bachelor of Engineering (B.Eng.),นานาชาติ,รับ159คน,รับ50คน,รับ15คน,รับ10คน,ศูนย์รังสิต,,ร้อยละ 91.40,ร้อยละ 96.02
มหาวิทยาลัยมหิดล,,,"30,000 บาท ต่อภาคการศึกษา",หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,รับ30คน,รับ20คน,รับ26คน,ไม่เปิดรับสมัครในรอบนี้,ศาลายา,,,
มหาวิทยาลัยศรีนครินทรวิโรฒ,,"22,000 บาท","200,000 บาท ตลอดหลักสูตร",หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,รับ38คน,รับ7คน,รับ15คน,รับ8คน,องครักษ์,,อัตราการจบการศึกษา ร้อยละ 98.07 ของนักศึกษาปีการศึกษา 2565,ร้อยละ 92 ของผู้จบการศึกษา
มหาวิทยาลัยสงขลานครินทร์,,,"อัตราค่าเล่าเรียน 18,000.-/ภาคการศึกษา",วศ.บ. วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,รับ75คน,รับ20คน,รับ10คน,ไม่เปิดรับสมัครในรอบนี้,หาดใหญ่,,,
มหาวิทยาลัยสงขลานครินทร์,,,"อัตราค่าเล่าเรียน 28,000.-/ภาคการศึกษา",วศ.บ. วิศวกรรมปัญญาประดิษฐ์,Bachelor of Engineering Program in Artificial Intelligence Engineering,ภาษาไทย ปกติ,รับ210คน,รับ5คน,รับ10คน,ไม่เปิดรับสมัครในรอบนี้,หาดใหญ่,,,
มหาวิทยาลัยสงขลานครินทร์,,,"อัตราค่าเล่าเรียน 48,000 บาทต่อภาคการศึกษา (เรียน 8 ภาคการศึกษา) หรือตลอดหลักสูตร 384,000 บาท และต้องชำระค่าธรรมเนียมแรกเข้าอีก 15,000 บาท",วศ.บ. วิศวกรรมดิจิทัล (หลักสูตรนานาชาติ),Bachelor of Engineering Programe in Digital Engineering (International Program),นานาชาติ,รับ600คน,รับ245คน,รับ120คน,รับ120คน,ภูเก็ต,,,
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,,,https://kmutt.me/TUITION-FEES-BS-KMUTT,วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ ปริญญาตรี 4 ปี  (หลักสูตรนานาชาติ),Bachelor of Engineering Program in Computer Engineering (International Program) 4-year undergraduate program ( international ),นานาชาติ,,รับ44คน,รับ9คน,รับ21คน,บางมด,วิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ) - วศ.บ. 4 ปี,,
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,,,https://kmutt.me/TUITION-FEES-BS-KMUTT,วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ ปริญญาตรี 4 ปี,Bachelor of Engineering Program in Computer Engineering 4-year undergraduate program,ภาษาไทย ปกติ,,รับ33คน,รับ5คน,,บางมด,วิศวกรรมคอมพิวเตอร์ - วศ.บ. 4 ปี,,
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,,,https://kmutt.me/TUITION-FEES-BS-KMUTT,ครุศาสตร์อุตสาหกรรมบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้า ปริญญาตรี 5 ปี,Bachelor of Science in Industrial Education Program in Electrical Engineering 5-year undergraduate program,ภาษาไทย ปกติ,,,รับ1คน,,บางมด,วิศวกรรมไฟฟ้า - วิชาโทวิศวกรรมคอมพิวเตอร์ (ค.อ.บ. 5 ปี),,
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,,"23,330 บาท (ภาพรวมคณะ รุ่นปีการศึกษา 2565)","25,000 ต่อภาคเรียน",วศ.บ.วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,รับ29คน,รับ23คน,รับ5คน,ไม่เปิดรับสมัครในรอบนี้,กรุงเทพฯ,,,ร้อยละ 74.89 (ภาพรวมคณะ รุ่นปีการศึกษา 2565)
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,,ไม่ระบุ,"25,000 ต่อภาคการศึกษา",วศ.บ. วิศวกรรมคอมพิวเตอร์,B.Eng. Computer Engineering,ภาษาไทย ปกติ,รับ85คน,รับ45คน,รับ20คน,รับ5คน,ลาดกระบัง,,ไม่ระบุ,ไม่ระบุ
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,,ไม่ระบุ,"90,000 ต่อภาคการศึกษา",วศ.บ. วิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ),B.Eng. Computer Engineering (International Program),นานาชาติ,รับ80คน,รับ15คน,รับ5คน,รับ10คน,ลาดกระบัง,,ไม่ระบุ,ไม่ระบุ
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,,ไม่ระบุ,"50,000 ต่อภาคการศึกษา",วศ.บ. วิศวกรรมคอมพิวเตอร์และความปลอดภัยไซเบอร์,B.Eng. Computer Engineering and Cyber Security,ภาษาไทย ปกติ,รับ115คน,รับ30คน,รับ5คน,ไม่เปิดรับสมัครในรอบนี้,ลาดกระบัง,,ไม่ระบุ,ไม่ระบุ
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,,ไม่ระบุ,"20,000 บาท ต่อภาคการศึกษา",วศ.บ. วิศวกรรมคอมพิวเตอร์,B.Eng. Computer Engineering,ภาษาไทย ปกติ,รับ55คน,รับ22คน,รับ10คน,รับ10คน,ชุมพรเขตรอุดมศักดิ์ จังหวัดชุมพร,,ไม่ระบุ,ไม่ระบุ
มหาวิทยาลัยเทคโนโลยีสุรนารี,,,,"กลุ่มวิศวกรรมศาสตร์ (ประกอบด้วยสาขาวิชาวิศวกรรมการผลิตอัตโนมัติและหุ่นยนต์, วิศวกรรมเกษตรและอาหาร, วิศวกรรมคอมพิวเตอร์, วิศวกรรมเคมี, วิศวกรรมเครื่องกล, วิศวกรรมปิโตรเลียมและเทคโนโลยีธรณี, วิศวกรรมไฟฟ้า, วิศวกรรมโทรคมนาคม, วิศวกรรมยานยนต์,วิศวกรรมโยธา, วิศวกรรมขนส่งและโลจิสติส์, วิศวกรรมเซรามิก, วิศวกรรมพอลิเมอร์, วิศวกรรมโลหการ, วิศวกรรมสิ่งแวดล้อม, วิศวกรรมธรณี, วิศวกรรมอากาศยาน, วิศวกรรมอิเล็กทรอนิกส์, วิศวกรรมอุตสาหการ เรียนรวมกันปี 1 แยกสาขาปี 2)",Engineering,ภาษาไทย ปกติ,รับ2100คน,รับ500คน,รับ300คน,รับ300คน,วิทยาเขตหลัก,,,
มหาวิทยาลัยเทคโนโลยีสุรนารี,,"20,918.60","197,100",วิศวกรรมคอมพิวเตอร์,Computer Engineering,ภาษาไทย ปกติ,รับ10คน,ไม่เปิดรับสมัครในรอบนี้,ไม่เปิดรับสมัครในรอบนี้,ไม่เปิดรับสมัครในรอบนี้,วิทยาเขตหลัก,,,ร้อยละ 76.06 ของผู้จบการศึกษาปี 2564
มหาวิทยาลัยนเรศวร,,"15,000-20,000","อัตราค่าเล่าเรียน 16,000 ต่อภาคเรียน",หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,รับ31คน,รับ25คน,รับ60คน,รับ20คน,วิทยาเขตหลัก,,ร้อยละ 58.77,-
มหาวิทยาลัยวลัยลักษณ์,,,"อัตราค่าเล่าเรียน   32,700  ต่อภาคเรียน",วิศวกรรมศาสตรบัณฑิต สาขาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์,Bachelor of Engineering Program in Computer Engineering and Artificial Intelligence,ภาษาไทย ปกติ,รับ80คน,รับ50คน,รับ10คน,รับ5คน,วิทยาเขตหลัก,,,
มหาวิทยาลัยแม่ฟ้าหลวง,,,"ค่าธรรมเนียมการศึกษา 28,000 ต่อภาคการศึกษา หรือ 224,000 บาท ตลอดหลักสูตร",วศ.บ. วิศวกรรมคอมพิวเตอร์ (จัดการเรียนการสอนเป็นภาษาอังกฤษ),Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,รับ217คน,รับ80คน,รับ70คน,ไม่เปิดรับสมัครในรอบนี้,วิทยาเขตหลัก,,,
มหาวิทยาลัยนราธิวาสราชนครินทร์,,,"112,000",วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,รับ10คน,รับ27คน,รับ20คน,รับ5คน,วิทยาเขตหลัก,,อัตราการจบการศึกษา ร้อยละ 80 ของนักศึกษาปีการศึกษา 2568,ร้อยละ 90 ของผู้จบการศึกษา
มหาวิทยาลัยนครพนม,,,"อัตราค่าเล่าเรียน โดยประมาณ 72,200 บาท ตลอดหลักสูตร",วิศวกรรมศาสตรบัณฑิต,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,รับ30คน,รับ30คน,รับ30คน,ไม่เปิดรับสมัครในรอบนี้,วิทยาเขตหลัก,วิศวกรรมคอมพิวเตอร์,,
มหาวิทยาลัยพะเยา,,,https://admission.up.ac.th/uploads/admission/media/file/66ed2582eb5b7LIYYa.pdf,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,รับ60คน,รับ20คน,รับ20คน,ไม่เปิดรับสมัครในรอบนี้,วิทยาเขตหลัก,,,
มหาวิทยาลัยกาฬสินธุ์,,,"อัตราค่าเล่าเรียน 10,150 ต่อภาคเรียน",วศ.บ. วิศวกรรมคอมพิวเตอร์,B.Eng.(Computer Engineering),ภาษาไทย ปกติ,รับ10คน,รับ10คน,รับ10คน,รับ20คน,วิทยาเขตหลัก,,,
มหาวิทยาลัยรามคำแหง,,"ประมาณ 25,000.-","เทอมแรก 33,000 บาท เทอมต่อไปเทอมละ 26,000 บาท (เหมาจ่ายรายเทอม ลงทะเบียนได้ไม่เกิน 22 - 24 หน่วยกิต) หลักสูตร 4 ปี",หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (วศ.บ. (วิศวกรรมคอมพิวเตอร์)),Bechelor of Engineering Program in Computer Engineering  (B. Eng. (Computer Engineering)),ภาษาไทย ปกติ,รับ20คน,รับ20คน,รับ80คน,ไม่เปิดรับสมัครในรอบนี้,วิทยาเขตหลักหัวหมาก,,90% - 96%,0.98%
มหาวิทยาลัยรามคำแหง,,"ประมาณ 35,000.-","ตลอดหลักสูตร 403,260 บาท (63,260 บาทในภาคการศึกษาแรก)",หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ) (วศ.บ. (วิศวกรรมคอมพิวเตอร์)),Bechelor of Engineering Program in Computer Engineering (International Program) (B. Eng. (Computer Engineering)),นานาชาติ,ไม่เปิดรับสมัครในรอบนี้,ไม่เปิดรับสมัครในรอบนี้,รับ50คน,รับ30คน,วิทยาเขตหลัก,,,
สถาบันเทคโนโลยีจิตรลดา,,,"อัตราค่าเล่าเรียน 31,500 ต่อภาคเรียน หรือ 252,000 บาท ตลอดหลักสูตร",วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,รับ30คน,รับ20คน,รับ21คน,ไม่เปิดรับสมัครในรอบนี้,วิทยาเขตหลัก,,,
มหาวิทยาลัยราชภัฏพิบูลสงคราม,,,"ค่าบำรุงการศึกษา 12,000 บาท ต่อภาคการศึกษา",หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,รับ60คน,รับ30คน,รับ20คน,ไม่เปิดรับสมัครในรอบนี้,วิทยาเขตหลัก,,,
มหาวิทยาลัยราชภัฏสวนสุนันทา,,,"ค่าลงทะเบียนเรียน 18,500 บาท ต่อภาคเรียน และค่าธรรมเนียมแรกเข้าศึกษา 5,350 บาท (ค่าแรกเข้าชำระเฉพาะภาคเรียนแรกที่เข้าศึกษา) สามารถดูประกาศค่าธรรมเนียม  ณ วันที่ประกาศรายชื่อผู้มีสิทธิ์เข้าศึกษาที่เว็บไซต์ https://admission.ssru.ac.th/login",วศ.บ.วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering,ภาษาไทย ปกติ,รับ60คน,รับ10คน,รับ80คน,รับ50คน,หลัก,,,
มหาวิทยาลัยราชภัฏอุบลราชธานี,,"18,000 บาท","72,610 บาท",วศ.บ.วิศวกรรมคอมพิวเตอร์และเครือข่าย,Computer and Network Engineering,ภาษาไทย ปกติ,รับ5คน,รับ5คน,รับ10คน,ไม่เปิดรับสมัครในรอบนี้,วิทยาเขตหลัก,วิศวกรรมคอมพิวเตอร์และเครือข่าย,,
มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,,20000 บาท,100000 ตลอดหลักสูตร  (14000 ต่อภาคเรียน),วิศวกรรมคอมพิวเตอร์,Computer Engineering,ภาษาไทย ปกติ,รับ14คน,รับ4คน,รับ4คน,รับ2คน,วิทยาเขตหลัก,,อัตราการจบการศึกษา ร้อยละ 90 ของนักศึกษาปีการศึกษา 2566,ร้อยละ 90 ของผู้จบการศึกษา
